Chemical,Repellency_skin_YF,Repellency_skin_M,Repellency_clothes_YF,Repellency_clothes_M
"Hydrazine, 1-formyl-2-phenyl-",-,-,-,-
"Hydrazine, (p-nitrophenyl)-",-,-,2,2
"Hydrazine, (p-nitrophenyl)-, hydrochloride",-,-,-,-
"Hydrazine, phenyl-",-,-,-,-
"Hydrazine, phenyl-, hydrochloride",-,-,-,-
"Hydrazine, m-tolyl-",-,-,-,-
"Hydrazine, (2,4,6-trinitrophenyl)-",-,-,1,1
Hydrazobenzene,-,-,1,-
"Hydroazobenzene, p-bromo-",-,-,-,-
Hydroabletyl alcohol,1,1,-,-
"Hydrobenzamide, 2,2',2'',4,4',4''-hexachloro-",-,-,1,-
"Hydrobenzamide, 3,3',3'',4,4',4''-hexamethoxy-",-,-,1,-
"Hydrobenzamide, 2,2',2''-trichloro-",-,-,1,-
"Hydrobenzamide, 4,4',4''-trihydroxy-3,3',3''-trimethoxy-",-,-,1,-
"Hydrobenzamide, p,p',p''-trimethoxy-",-,-,1,-
"Hydrobenzamide, 3,3',3''-trinitro-",-,-,1,-
"Hydrobenzamide, 3,4,3',4',3''-triethylenedioxyl-",-,-,1,-
"Hydrobenzoin, alpha, alpha'-dimethyl-",-,-,1,-
Hydrocinnamaldehyde,3,2,3,2
"Hydrocinnamaldehyde, p-isopropyl-beta-methyl-",2,3,3,-
Hydrocinnamic acid,-,-,1,1
"Hydrocinnamic acid, ethyl ester",2,3,3,-
"Hydrocinnamic acid, isopropyl ester",2,2,-,-
"Hydrocinnamic acid, methyl ester",2,1,3,-
"Hydrocinnamic acid, propyl ester",2,4,-,-
"Hydrocinnamic acid, alpha-acetyl-beta-phenacyl-, ethyl ester",-,-,1,-
"Hydrocinnamic acid, beta-(p-bromophenacyl)-, methyl ester",-,-,1,-
"Hydrocinnamic acid, p-chloro-alpha, beta-epoxy-beta-methyl-, allyl ester",1,2,-,-
"Hydrocinnamic acid, p-chloro-alpha, beta-epoxy-beta-methyl-, ethyl ester",1,2,1,-
"Hydrocinnamic acid, p-chloro-alpha, beta-epoxy-beta-methyl-, methyl ester",1,2,-,-
"Hydrocinnamic acid, p-chloro-alpha, beta-epoxy-beta-methyl-, propyl ester",2,3,3,-
"Hydrocinnamic acid, alpha-cyano-, ethyl ester",1,2,2,-
"Hydrocinnamic acid, alpha-cyano-beta-phenacyl-, methyl ester",-,-,1,-
"Hydrocinnamic acid, alpha-cyano-alpha-phenyl-, ethyl ester",1,2,-,-
"Hydrocinnamic acid, alpha, beta-dibromo-",-,-,1,-
"Hydrocinnamic acid, 2,4-dihydroxy-",-,-,1,-
"Hydrocinnamic acid, alpha, beta-epoxy-, allyl ester",2,2,4A,-
"Hydrocinnamic acid, alpha, beta-epoxy-, ethyl ester",3,3,-,-
"Hydrocinnamic acid, alpha, beta-epoxy-, methyl ester",1,2,-,-
"Hydrocinnamic acid, alpha, beta-epoxy-, 2-methylallyl ester",2,2,-,-
"Hydrocinnamic acid, alpha, beta-epoxy-, propyl ester",2,3,4A,-
"Hydrocinnamic acid, alpha, beta-epoxy-alpha, beta-dimethyl-, allyl ester",1,2,-,-
"Hydrocinnamic acid, alpha, beta-epoxy-alpha, beta-dimethyl-, ethyl ester",2,2,4,-
"Hydrocinnamic acid, alpha, beta-epoxy-alpha, beta-dimethyl-, methyl ester",4,2,2,-
"Hydrocinnamic acid, alpha, beta-epoxy-alpha, beta-dimethyl-, propyl ester",4,2,3,-
"Hydrocinnamic acid, alpha, beta-epoxy-p, beta-dimethyl-, benzyl ester",1,1,-,-
"Hydrocinnamic acid, alpha, beta-epoxy-p, beta-dimethyl-, ethyl ester",2,1,-,-
"Hydrocinnamic acid, alpha, beta-epoxy-p, beta-dimethyl-, isopropyl ester",2,2,4A,-
"Hydrocinnamic acid, alpha, beta-epoxy-alpha-ethyl-, allyl ester",2,2,-,-
"Hydrocinnamic acid, alpha, beta-epoxy-alpha-ethyl-, ethyl ester",2,2,4,-
"Hydrocinnamic acid, alpha, beta-epoxy-alpha-ethyl-, methyl ester",1,2,-,-
"Hydrocinnamic acid, alpha, beta-epoxy-alpha-ethyl-, propyl ester",1,2,-,-
"Hydrocinnamic acid, alpha, beta-epoxy-beta-ethyl-, ethyl ester",1,2,-,-
"Hydrocinnamic acid, alpha, beta-epoxy-beta-ethyl-, isopropyl ester",1,2,-,-
"Hydrocinnamic acid, alpha, beta-epoxy-beta-ethyl-, methyl ester",4,2,4A,-
"Hydrocinnamic acid, alpha, beta-epoxy-beta-ethyl-, propyl ester",2,1,2,-
"Hydrocinnamic acid, alpha, beta-epoxy-alpha-ethyl-beta-methyl-, ethyl ester",1,2,-,-
"Hydrocinnamic acid, alpha, beta-epoxy-alpha-ethyl-beta-methyl-, methyl ester",1,2,-,-
"Hydrocinnamic acid, alpha, beta-epoxy-beta-isopropyl-, ethyl ester",-,-,1,1
"Hydrocinnamic acid, alpha, beta-epoxy-beta-isopropyl-, methyl ester",3,2,4,-
"Hydrocinnamic acid, alpha, beta-epoxy-p-methoxy-beta-methyl-, allyl ester",1,2,-,-
"Hydrocinnamic acid, alpha, beta-epoxy-p-methoxy-beta-methyl-, methyl ester",1,1,-,-
"Hydrocinnamic acid, alpha, beta-epoxy-p-methoxy-beta-methyl-, phenethyl ester",1,2,-,-
"Hydrocinnamic acid, alpha, beta-epoxy-alpha-methyl-, allyl ester",4,2,4,-
"Hydrocinnamic acid, alpha, beta-epoxy-alpha-methyl-, ethyl ester",2,2,4,-
"Hydrocinnamic acid, alpha, beta-epoxy-alpha-methyl-, methyl ester",4,2,3,-
"Hydrocinnamic acid, alpha, beta-epoxy-alpha-methyl-, 2-methylallyl ester",4,2,4,-
"Hydrocinnamic acid, alpha, beta-epoxy-alpha-methyl-, propyl ester",2,1,4A,-
"Hydrocinnamic acid, alpha, beta-epoxy-beta-methyl-, allyl ester",4,2,4,-
"Hydroquinone, tetrachloro-",-,-,1,-
"Hydroquinone, (1,1,3,3-tetramethylbutyl)-",-,-,1,-
"Hydrosorbic acid, alpha-cyano-alpha-ethyl-beta, delta-dimethyl-, methyl ester",-,-,1,-
"Hydrosorbic acid, alpha-cyano-alpha-ethyl-beta-methyl-, ethyl ester",-,-,1,-
"Hydrosorbic acid, alpha-cyano-alpha-ethyl-beta-propyl-, ethyl ester",1,1,-,-
"Hydrosorbic acid, alpha-cyano-beta-methyl-alpha-propyl-, ethyl ester",1,2,-,-
"Hydrosorbic acid, alpha-cyano-alpha, beta, delta-trimethyl-, methyl ester",1,2,-,-
"Hydroxylamine, hydrochloride",1,2,-,-
"Hydroxylamine, N,N-di-2-thenyl-, hydrochloride",1,3,-,-
"Hydroxylamine, N-(2-thenyl-, hydrochloride)",-,-,-,-
"Imidazole, 1-dodecyl-2-methyl-",-,-,1,-
"Imidazole, 2-(1-ethylamyl)-",-,-,-,-
"Imidazole, 4-methyl-",-,-,1,-
2-Imidazolidinethione,-,-,1,1
"2-Imidazolidone, 1,3-bis(butoxymethyl)-",-,-,1,1
"2-Imidazolidone, 1,3-bis(methoxymethyl)-",-,-,-,-
"Imidazoline, 2-heptadecenyl-1-(2-hydroxyethyl)-",3,-,4A,-
"Imidazoline, 5-methyl-2-pentadecyl-",-,-,1,-
"2-Imidazoline, 1-(2-butylaminoethyl)-2-nendecyl-",-,-,1,-
"2-Imidazoline, 2-nendecyl-",-,-,1,1
"2-Imidazoline, 2-nendecyl-5-methyl-",-,-,-,-
"2-Imidazoline-1-ethanol, 2-(2-furfuryl)-",-,-,2,1
"2(3H)-Imidazolone, 4,5-diphenyl-",-,-,4A,2
"Indalone. (2H-Pyran-6-carboxylic acid, 3,4-dihydro-2,2-dimethyl-4-oxo-, butyl ester)",-,-,1,1
Indan,-,-,1,1
"Indan, 1-amoxy-",3,2,4A,-
"Indan, dichloro-1,1,3-trimethyl-3-phenyl-",1,1,-,-
"Indan, 2,3-epoxy-",1,2,-,-
"Indan, 1-isopropoxy-",-,-,1,-
"2-Indancarboxylic acid, 1,3-dioxo-, ethyl ester, sodium derivative",-,-,2,2
"1,2-Indandiol, 2-acetate",1,3,-,-
"1,3-Indandione, 2-caproyl-",-,-,-,-
"1,3-Indandione, 2-cyclopropylcarbonyl-, potassium derivative",-,-,4,1
"1,3-Indandione, 2-diethylaminobutyryl-, potassium derivative",-,-,4A,-
"1,3-Indandione, 2-enanthyl-",-,-,-,-
"1,3-Indandione, 2-isovaleryl-",-,-,1,-
"1,3-Indandione, 2-isovaleryl-, sodium derivative",-,-,4A,-
"1,3-Indandione, 2-pivalyl-",-,-,4A,1
"1,3-Indandione, 2-pivalyl-, sodium derivative",-,-,-,-
1-Indanol,-,-,3,-
"1-Indanol, acetate",-,-,2,2
2-Indanol,2,3,2,-
"2-Indanol, 1-butoxy-",-,-,4,1
"2-Indanol, 1-ethoxy-",1,2,-,-
"2-Indanol, 1-methoxy-",2,3,4A,-
1-Indanone,4,2,4,-
"1-Indanone, 2-methyl-",-,-,2,2
Indene,2,3,3,-
Indigo carmine,-,-,4,1
Indigotin,1,2,-,-
Indole,2,3,4A,-
"Indole, 3-(diethylaminomethyl)-",4,2,4,-
"Indole, 2-methyl-",-,-,2,2
3-Indolebutyric acid,2,3,3,-
3-Indolepropionic acid,-,-,1,-
meso-hositol,-,-,1,1
Iodine,-,-,1,-
"Iodonium compounds, bis(p-chlorophenyl)---chloride",-,-,4,2
"Iodonium compounds, bis(2,4-dichlorophenyl)---chloride",-,-,1,1
"Iodonium compounds, bis(2,4-dichlorophenyl)---iodide",-,-,1,-
"Iodonium compounds, diphenyl--- triiodide",-,-,1,-
alpha-Ionone,-,-,1,-
alpha-Irisone,-,-,1,1
Isatin,-,-,1,-
Isoamyl acetate,-,-,4,2
Isoamyl alcohol,-,-,1,-
Isoamyl ether,-,-,1,1
Isoamyl sulfide,-,-,-,-
Isoborneol,1,1,-,-
"Isoborneol, acetate",-,-,-,-
"Isoborneol, acetate, chloro derivative",-,-,2,-
"Isoborneol, formate",1,1,-,-
"Isoborneol, nitrate",1,2,-,-
"Isobornyl sulfone, chlorinated (63.3% chlorine)",1,1,-,-
"Isobornyl sulfone, chlorinated (70.5% chlorine)",-,-,1,-
Isobutyl alcohol,-,-,-,-
"Isobutylamine, N,N-bis(2-chloroethyl)-, hydrochloride",-,-,-,-
"Isobutylamine, N-(2-chloroethyl)-, hydrochloride",1,1,-,-
Isobutyl sulfide,-,-,-,-
Isobutyl sulfone,-,-,-,-
Isobutyraldehyde,-,-,-,-
"Isobutyraldehyde, 2,4-dinitrophenylhydrazone",3,2,4,-
"Isobutyraldehyde, oxime",-,-,2,-
"Isobutyraldehyde, oxime, benzoate",-,-,-,-
"Isobutyraldehyde, trimer",1,2,-,-
"Isobutyramide, alpha-chloro-",-,-,1,1
"Isobutyramide, alpha-hydroxy-N-(2-hydroxyethyl)",1,2,-,-
"Isobutyramide, alpha-hydroxy-N-methyl-, acetate",-,-,2,2
"Isobutyramilide, N-ethyl-",1,2,4,-
"Isobutyric acid, amyl ester",-,-,1,-
"Isobutyric acid, benzyl ester",4,3,4,-
"Isobutyric acid, (p-sec-butylphenyl) ester",1,1,-,-
"Isobutyric acid, 2-(p-tert-butylphenoxy)ethyl ester",1,2,-,-
"Isobutyric acid, 4-tert-butyl-o-tolyl ester",1,-,-,-
"Isobutyric acid, cyclohexyl ester",1,1,-,-
"Isobutyric acid, 2-cyclohexylethyl ester",2,-,-,-
"Isobutyric acid, diester with 1,4-butanediol",1,1,-,-
"Isobutyric acid, diester with butynediol",1,2,-,-
"Isobutyric acid, diester with 1,2-cyclo-hexanediol",1,2,-,-
"Isobutyric acid, diester with 1,4-cyclohexanediol",2,-,-,-
"Isobutyric acid, diester with 2-ethyl-2-nitro-1,3-propanediol",2,2,4,-
"Isobutyric acid, diester with 1,5-pentanediol",1,1,-,-
"Isobutyric acid, diester with 1,2-propanediol",2,2,1,-
"Isobutyric acid, diester with 1,3-propanediol",2,2,-,-
"Isobutyric acid, diester with triethylene glycol",2,2,1,-
"Isobutyric acid, 2-(2,4-dinitrophenyl)hydrazide",3,4,3,-
"Isobutyric acid, dodecyl ester",1,1,-,-
"Isobutyric acid, ester with 2-ethyl-2-hexenal oxime",-,-,1,-
"Isobutyric acid, ethyl ester",1,2,-,-
"Isobutyric acid, ethylene diester",1,2,-,-
"Isobutyric acid, 2-(2-hydroxyethoxy)ethyl ester",1,2,-,-
"Isobutyric acid, 2-hydroxyethyl ester",2,1,1,-
"Isobutyric acid, 3-hydroxypropyl ester",2,2,-,-
"Isobutyric acid, isobutyl ester",1,2,-,-
"Isobutyric acid, 2-methylbutyl ester",2,3,4,-
"Isobutyric acid, 2-phenoxyethyl ester",1,2,-,-
"Isobutyric acid, 2-phenoxypropyl ester",1,1,-,-
"Isobutyric acid, phenyl ester",2,1,4A,-
"Isobutyric acid, 2-phenylhydrazide",1,-,-,-
"Isobutyric acid, propyl ester",1,2,-,-
"Isobutyric acid, alpha-amino-",-,-,1,1
"Isobutyric acid, alpha-amino-, dodecyl ester",1,2,-,-
"Isobutyric acid, alpha-benzoyl-, ethyl ester",-,-,1,-
"Isobutyric acid, beta-benzoyl-beta'-nitro-beta'-phenyl-",-,-,1,1
"Isobutyric acid, beta-benzoyl-beta'-nitro-beta'-phenyl-, methyl ester",1,2,1,-
"Isobutyric acid, alpha-benzyloxy-, benzyl ester",-,-,1,-
"Isobutyric acid, alpha-benzyloxy-, ethyl ester",-,-,1,-
"Isobutyric acid, alpha-bromo-, methyl ester",3,2,-,-
"Isobutyric acid, beta-bromo-beta-benzoyl-beta'-nitro-beta'-phenyl-",1,1,-,-
"Isobutyric acid, beta-bromo-beta-benzoyl-beta'-nitro-beta'-phenyl-, methyl ester",-,-,1,-
"Isobutyric acid, alpha-chloro-, isobornyl ester",-,-,-,-
"Isobutyric acid, alpha, beta-dihydroxy-, cyclohexyl ester, beta-acetate",-,-,1,-
"Isobutyric acid, alpha, beta-dihydroxy-, isoamyl ester, beta-acetate",2,3,-,-
"Isobutyric acid, beta, beta'-diphenyl-, ethyl ester",4,2,-,-
"Isobutyric acid, alpha-hydroxy-, acetate",4,3,-,-
"Isobutyric acid, alpha-hydroxy-, allyl ester, acetate",2,3,2,-
"Isobutyric acid, alpha-hydroxy-, benzyl ester",-,-,1,-
"Isobutyric acid, alpha-hydroxy-, bornyl ester",1,1,-,-
"Isobutyric acid, alpha-hydroxy-, butyl ester",4,1,-,-
"Isobutyric acid, alpha-hydroxy-, 2-chloroallyl ester",4,1,-,-
"Isobutyric acid, alpha-hydroxy-, cinnamyl ester",2,1,-,-
"Isobutyric acid, alpha-hydroxy-, cyclohexyl ester",-,-,1,-
"Isobutyric acid, alpha-hydroxy-, diester with glycerol",2,1,4A,-
"Isobutyric acid, alpha-hydroxy-, diester with glyceryl monoacetate",2,2,3,-
"Isobutyric acid, alpha-hydroxy-, diester with 3-phenoxy-1, 2-propanediol",1,1,-,-
"Isobutyric acid, alpha-hydroxy-, diester with 3-toloxy-1, 2-propanediol",1,2,-,-
"Isobutyric acid, alpha-hydroxy-, 1, 3-diphenoxy-2-propyl ester",2,1,2,-
"Isobutyric acid, alpha-hydroxy-, 1, 3-ditoloxy-2-propyl ester",2,1,4,-
"Isobutyric acid, alpha-hydroxy-, dodecyl ester",1,2,-,-
"Isobutyric acid, alpha-hydroxy-, ester with glyceryl diacetate",1,1,-,-
"Isobutyric acid, alpha-hydroxy-, ethyl ester",-,-,3,-
"Isobutyric acid, alpha-hydroxy-, ethyl ester, acetate",1,1,-,-
"Isobutyric acid, alpha-hydroxy-, ethyl ester, amyl carbonate",1,2,-,-
"Isobutyric acid, alpha-hydroxy-, ethyl ester, benzoate",1,1,-,-
"Isobutyric acid, alpha-hydroxy-, ethyl ester, butyl carbonate",2,1,-,-
"Isobutyric acid, alpha-hydroxy-, 2-hydroxy-3-toloxypropyl ester",1,2,-,-
"Isobutyric acid, alpha-hydroxy-, methyl ester",2,2,3,-
"Isobutyric acid, alpha-hydroxy-, methyl ester",1,1,-,-
"Isobutyric acid, alpha-hydroxy-, methyl ester, acetate",-,-,2,1
"Isobutyric acid, alpha-hydroxy-, methyl ester, acrylate",1,2,-,-
"Isobutyric acid, alpha-hydroxy-, 2-methylallyl ester, acetate",1,2,-,-
"Isobutyric acid, alpha-hydroxy-, 4-methyl-cyclohexyl ester",1,2,-,-
"Isobutyric acid, alpha-hydroxy-, naphthylmethyl ester, acetate",1,1,-,-
"Isobutyric acid, alpha-hydroxy-, 2-nitro- isobutyl ester",1,1,-,-
"Isobutyric acid, alpha-hydroxy-, octyl ester",1,2,1,-
"Isobutyric acid, alpha-hydroxy-, phenethyl ester",2,3,4,-
"Isobutyric acid, alpha-hydroxy-, phenyl ester, acetate",1,2,-,-
"Isobutyric acid, alpha-hydroxy-, phenylpropyl ester",4A,2,4,-
"Isobutyric acid, alpha-hydroxy-, tetrahydro-furfuryl ester",4,-,3,-
"Isobutyric acid, alpha-hydroxy-, triester with glycerol",4,2,4A,-
"Isobutyronitrile, alpha-hydroxy-",2,1,4,-
Isobutyrophenone,1,2,-,-
"Isobutyrophenone, oxime",1,2,-,-
"Isobutyrophenone, o-hydroxy-",1,2,-,-
"Isobutyrophenone, p-hydroxy-",-,-,3,1
"Isocaproamide, alpha-cyano-alpha-propyl-",1,1,-,-
Isocaproic acid,1,2,-,-
"Isocaproic acid, 2-phenylhydrazide",-,-,1,-
"Isocaproic acid, beta-hydroxy-, ethyl ester",1,1,-,-
"Isocaproic acid, alpha-oxo-, ethyl ester, oxime",-,-,1,1
"Isocapronitrile, alpha, gamma-dihydroxy-alpha-methyl-",2,2,-,-
"Isocinchomeronic acid, dibutyl ester",4,2,4A,-
"Isocinchomeronic acid, diethyl ester",-,-,1,1
"Isocinchomeronic acid, dimethyl ester",-,-,2,-
"Isocinchomeronic acid, dipropyl ester",-,-,1,-
"Isocyanic acid, 2-biphenylyl ester",-,-,1,-
"Isocyanic acid, 4-biphenylyl ester",-,-,1,-
"Isocyanic acid, 4,4'-methylenediphenyl diester",1,1,-,-
"Isovaleric acid, alpha, beta-epoxy-, cyclohexyl ester",2,3,4,
"Isovaleric acid, alpha, beta-epoxy-, ethyl ester",1,-,-,
"Isovaleric acid, alpha, beta-epoxy-, 2-ethylhexyl ester",2,1,2,
"Isovaleric acid, alpha, beta-epoxy-, propyl ester",1,2,-,
"Isovaleric acid, alpha, beta-epoxy-alpha-methyl-, amyl ester",2,2,-,
"Isovaleric acid, alpha, beta-epoxy-alpha-methyl-, benzyl ester",2,1,-,
"Isovaleric acid, alpha, beta-epoxy-alpha-methyl-, propyl ester",1,3,-,
Isovalerone,1,1,1,
Isovalerophenone,2,2,-,
"Isovalerophenone, semicarbazone",-,-,-,
"5(4)-Isoxazolone, 4-benzylidene-3-methyl-5(4)-Isoxazolone, 4-cinnamylidene-3-methyl-",-,-,1,
Itaconic acid,-,-,-,
"Itaconic acid, dibutyl ester",-,-,1,
"Itaconic acid, diethyl ester",-,-,1,
Kerosene,1,2,-,
"Ketone, diisobutyl acetal",-,-,-,
"Ketone, amyl furfuryl",-,-,1,
"Ketone, bromomethyl 1, 2, 3, 4-tetrahydro-9-phenanthryl",-,-,1,
"Ketone, p-bromophenyl 5-hydroxy-3, 4-diphenyl-2-isoxazoline-5-yl",-,-,1,
"Ketone, butyl furfuryl",-,-,1,
"Ketone, 5-tert-butyl-2-thienyl methyl",-,-,4,
"Ketone, p-chlorophenyl 2-furyl",-,-,1,
"Ketone, 4-chlorophenyl 2-nitro-3-phenyl-1-cyclopropyl",-,-,1,
"Ketone, 5-chloro-2-thienyl methyl",-,-,-,
"Ketone, 1-cyclohexen-1-yl phenyl",-,-,1,
"Ketone, cyclohexyl 4-methoxy-m-tolyl",3,2,-,
"Ketone, cyclohexyl phenyl",1,-,-,
"Ketone, cyclohexyl 2-thienyl",3,2,4,
"Ketone, cyclopropyl methyl",1,2,-,
"Ketone, cyclopropyl methy",-,-,1,
"Lactamide, N-hexyl-",-,-,4,
"Lactamide, N-(2-hydroxy-tert-butyl)-",-,-,1,
"Lactamide, N-2-hydroxyethyl-",1,1,-,
"Lactamide, N-2-hydroxyethyl-, diacetate",-,-,1,
"Lactamide, N-2-hydroxyethyl-, dibenzoate",-,-,1,
"Lactamide, N-hydroxymethyl-",-,-,1,
"Lactamide, N-(3-hydroxy-1-methylpropyl)-",-,-,1,
"Lactamide, N-isoamyl-",2,-,-,
"Lactamide, N-isobutyl-",-,-,1,
"Lactamide, N-isopropyl-",-,-,1,
"Lactamide, N-(2-methoxyethyl)-",-,-,1,
"Lactamide, N-methyl-",-,-,1,
"Lactamide, N-methyl-, acetate",-,-,1,
"Lactamide, N-octadecyl-",-,-,-,
"Lactamide, N-octadecyl-, acetate",-,-,1,
"Lactamide, N-octyl-",-,-,1,
"Lactamide, N-octyl-, acetate",-,-,1,
"Lactamide, N-propyl-",2,-,-,
"Lactamide, N-tetradecyl-",-,-,-,
"Lactamide, N-tetradecyl-, acetate",-,-,1,
"Lactamide, N-p-tolyl-",-,-,-,
"Lactamide, N-(2, 2', 2''-trihydroxy-tert-butyl)-",-,-,1,
Lactamide,-,-,1,
"Lactamide, acetate",-,-,1,
"Lactamide, N-2-hydroxyethyl-",-,-,1,
"Lactamide, N-methyl-",-,-,1,
Lactic acid,3,1,2,
"Lactic acid, acetate",2,1,-,
"Lactic acid, alkenyl (C-18) esters",-,-,1,
"Lactic acid, allyl ester",-,-,1,
"Lactic acid, allyl ester, acetate",-,-,1,
"Lactic acid, allyl ester, allyl carbonate",2,1,-,
"Lactic acid, allyl ester, benzoate",-,-,1,
"Lactic acid, allyl ester, alpha-acetoxy-isobutyrate",1,-,3,
"Lactic acid, allyl ester, acrylate",-,-,1,
"Lactic acid, allyl ester, benzoate",-,-,4,
"Lactic acid, allyl ester, butyrate",-,-,3,
"Lactic acid, allyl ester, carbonate",-,-,1,
"Lactic acid, allyl ester, chloroformate",-,-,1,
"Lactic acid, allyl ester, diester with adipic acid",2,1,-,
"Lactic acid, allyl ester, diester with citraconic acid",1,1,-,
"Lactic acid, allyl ester, diester with fumaric acid",-,-,-,
"Lactic acid, allyl ester, ethyl carbonate",1,2,-,
"Lactic acid, allyl ester, itaconate",-,-,1,
"Lactic acid, allyl ester, lactate",-,-,2,
"Lactic acid, allyl ester, lactate, diethylene glycol dicarbonate",-,-,1,
"Lactic acid, allyl ester, methacrylate",2,-,-,
"Lactic acid, allyl ester, allyl maleate",-,-,1,
"Lactic acid, allyl ester, monoester with maleic acid",-,-,-,
"Lactic acid, allyl ester, pelargonate",2,-,1,
"Lactic acid, o-allyphenyl ester, acetate",1,1,-,
"Lactic acid, amyl ester",1,2,-,
"Lactic acid, amyl ester, acetate",1,-,-,
"Lactic acid, tert-amyl ester, acetate",1,1,-,
"Lactic acid, amyl ester, amyl carbonate",-,-,1,
"Lactic acid, p-tert-amylphenyl ester, acetate",1,1,-,
"Lactic acid, benzoate",-,-,-,
"Lactic acid, benzyl ester",-,-,3,
"Lactic acid, benzyl ester, alpha-acetoxy-isobutyrate",2,-,-,
"Lactic acid, benzyl ester, methacrylate",-,-,-,
"Lactic acid, 2-benzyloxyethyl ester",3,1,-,
"Lactic acid, 2-benzyloxyethyl ester, acetate",1,1,-,
"Lactic acid, 2-benzyloxyethyl ester, butyrate",3,1,4A,
"Lactic acid, bornyl ester",-,-,1,
"Lactic acid, 2-butenyl ester",1,1,-,
"Lactic acid, 2-butenyl ester, acetate",1,2,-,
"Lactic acid, 2-butenyl ester, ethyl carbonate",2,3,3,
"Lactic acid, 1-[2-(2-butoxyethoxy)ethyl ester, acetate",1,1,-,
"Lactic acid, butoxyethoxyethyl ester",4,-,4,
"Lactic acid, 2-(2-butoxyethoxy)ethyl ester",3,1,4A,
"Lactic acid, 2-(2-butoxyethoxy)ethyl ester, acetate",1,2,-,
"Lactic acid, 2-(2-butoxyethoxy)ethyl ester, adipic acid diester",-,-,1,
"Lactic acid, 2-(2-butoxyethoxy)ethyl ester, amyl carbonate",-,-,1,
"Lactic acid, 2-(2-butoxyethoxy)ethyl ester, diethylene glycol dicarbonate",-,-,1,
"Lactic acid, 2-(2-butoxyethoxy)ethyl ester, ethyl carbonate",-,-,1,
"Lactic acid, 2-(2-butoxyethoxy)ethyl ester, lactate",-,-,2,
"Lactic acid, 2-(2-butoxyethoxy)ethyl ester, lactate, acetate",-,-,2,
"Lactic acid, 2-(2-butoxyethoxy)ethyl ester, pelargonate",1,2,-,
"Lactic acid, 2-butoxyethyl ester",3,3,4A,
"Lactic acid, 2-butoxyethyl ester, acetate",2,1,4,
"Lactic acid, 2-butoxyethyl ester, adipic acid diester",-,-,1,
"Lactic acid, 2-butoxyethyl ester, amyl carbonate",-,-,1,
"Lactic acid, 2-butoxyethyl ester, diethylene glycol dicarbonate",-,-,1,
"Lactic acid, 2-butoxyethyl ester, ethyl carbonate",1,2,-,
"Lactic acid, 2-butoxyethyl ester, lactate",-,-,2,
"Lactic acid, 2-butoxyethyl ester, pelargonate",1,2,-,
"Lactic acid, 2-butoxyethyl ester, phthalic acid diester",-,-,-,
"Lactic acid, butyl ester",1,1,1,
"Lactic acid, butyl ester, acetate",1,1,-,
"Lactic acid, tert-butyl ester, acetate",1,1,-,
"Lactic acid, butyl ester, adipate",2,-,1,
"Lactic acid, butyl ester, acrylate",1,2,-,
"Lactic acid, butyl ester, adipic acid diester",-,-,1,
"Lactic acid, butyl ester, amyl carbonate",-,-,1,
"Lactic acid, butyl ester, butyl adipate",-,-,1,
"Lactic acid, butyl ester, butyl carbonate",-,-,1,
"Lactic acid, butyl ester, butyl maleate",-,-,1,
"Lactic acid, butyl ester, butyrate",1,2,-,
"Lactic acid, butyl ester, carbonate, diester with diethylene glycol",-,-,1,
"Lactic acid, butyl ester, diester with benzenephosphonic acid",-,-,1,
"Lactic acid, 2-(2-chloroethoxy)ethyl ester, lactate, acetate",2,-,1,
"Lactic acid, 2-(2-chloroethoxy)ethyl ester, pelargonate",1,1,-,
"Lactic acid, 2-chloroethyl ester",2,3,-,
"Lactic acid, 2-chloroethyl ester, acetate",2,2,-,
"Lactic acid, 2-chloroethyl ester, lactate",-,-,1,
"Lactic acid, p-chlorophenyl ester, acetate",2,2,4A,
"Lactic acid, chloropropionate",-,-,1,
"Lactic acid, cyclohexyl ester",2,2,3,
"Lactic acid, cyclohexyl ester, acetate",3,1,2,
"Lactic acid, cyclohexyl ester, acrylate",-,-,1,
"Lactic acid, cyclohexyl ester, diethylene glycol dicarbonate",-,-,1,
"Lactic acid, cyclohexyl ester, ethyl carbonate",-,-,1,
"Lactic acid, p-cyclohexylphenyl ester, acetate",1,2,-,
"Lactic acid, decyl ester",1,4,1,
"Lactic acid, decyl ester, acetate",-,-,1,
"Lactic acid, decyl ester, butyl carbonate",-,-,1,
"Lactic acid, decyl ester, methyl carbonate",-,-,1,
"Lactic acid, 2,4-dichlorophenyl ester",-,-,2,
"Lactic acid, diester with 2,3-butanediol, diacetate",1,-,2,
"Lactic acid, diester with diethylene glycol",-,-,1,
"Lactic acid, diester with diethylene glycol, diacetate",1,-,1,
"Lactic acid, diester with glyceryl acetate, diacetate",2,-,1,
"Lactic acid, diester with glyceryl propionate, dipropionate",1,-,1,
"Lactic acid, diester with 1,5-pentanediol, diacetate",-,-,1,
"Lactic acid, diester with 1,3-propanediol",1,2,-,
"Lactic acid, diester with 1,2-propanediol, diacetate",1,-,-,
"Lactic acid, diester with 1,3-propanediol, diacetate",-,-,1,
"Lactic acid, diester with triethylene glycol, diacetate",-,-,1,
"Lactic acid, ethyl ester, laurate",1,2,-,-
"Lactic acid, ethyl ester, methacrylate",-,-,2,1
"Lactic acid, ethyl ester, methyl carbonate",1,2,-,-
