MATERIAL,Repellent_cloth_YF,Repellent_skin_YF,Repellent_wash_YF,Repellent_space_YF
"Acetanide, 2,2-dichloro-N-(2,4-dichlorobenzyl)-N-isopropyl-",-,-,-,-
"Acetanide, 2,2-dichloro-N,N-diethyl-",1,-,-,-
"Acetanide, 2,2-dichloro-N,N-dilsobutyl-",1,-,-,1
"Acetanide, 2,2-dichloro-N,N-dilisopropyl-",1,-,-,1
"Acetanide, 2,2-dichloro-N,N-dimethyl-",-,-,-,-
"Acetanide, 2,2-dichloro-N,N-dipropyl-",2,-,-,1
"Acetanide, 2,2-dichloro-N-(2-ethylhexyl)-",1,-,-,-
"Acetanide, 2,2-dichloro-N-hexyl-",1,-,-,1
"Acetanide, 2,2-dichloro-N-[Î²-hydroxy-Î±-(hydroxymethyl)-Ï-nitrophenethyl]-",-,-,-,-
"Acetanide, 2,2-dichloro-N-lsobutyl-",4,-,1,-
"Acetanide, 2,2-dichloro-N-methyl-",-,-,-,-
"Acetanide, 2,2-dichloro-N-pentyl-",5,-,1,-
"Acetanide, 2,2-dichloro-N-phenethyl-",1,-,-,1
"Acetanide, 2,2-dichloro-N-propyl-",2,-,-,-
"Acetanide, N,N-dicyclohexyl-",1,-,-,6
"Acetanide, N,N-diethyl-2-m-tolyl-",2,-,-,-
"Acetanide, N-(3,4-dimethoxyphenethyl)-",1,-,-,6
"Acetanide, N-(3-(dimethylamino)propyl)-",2,-,-,2
"Acetanide, N,N-dioctyl-",1,-,-,6
"Acetanide, 2-(2-(2-ethoxyethoxy)ethoxy)-N-isobutyl-",1,-,-,-
"Acetanide, 2-(2-ethoxyethoxy)-N-isobutyl-",4,-,1,6
"Acetanide, N-ethyl-N-(9-oxofluoren-2-yl)-",1,-,-,-
"Acetanide, N-ethyl-2-phenyl-",1,-,-,2
"Acetanide, N-ethyl-2,2,2-trifluoro-N-(9-oxofluoren-2-yl)-",1,-,-,-
"Acetanide, 2-fluoro-",-,-,-,-
"Acetanide, N,N'-hexamethylenebis[2,2-dichloro-N-ethyl-",-,-,-,-
"Acetanide, N-hexyl-",2,-,-,-
"Acetanide, 2-(2-hydroxyethoxy)-",1,-,-,-
"Acetanide, N-[2-[(2-hydroxyethyl)amino]ethyl]-",1,-,-,-
"Acetanide, N-(3-isopropoxypropy1)-",2,-,-,-
"Acetanide, 2-[(p-methoxybenzyl)oxy]-N,N'-dipropyl-",1,-,-,-
"Acetanide, N-(3-methoxypropy1)-",2,-,-,-
"Acetanide, N-(Î±-methylbenzyl)-",1,-,-,-
"Acetanide, 2-[(2-methylcyclohexyl)oxy]-N,N'-dipropyl-",2,-,-,-
"Acetanide, N-(2-methylcyclohexyl)-N-propyl-",4,-,-,-
"Acetanide, N-methyl-N-(9-oxofluoren-2-yl)-",-,-,-,-
"Acetanide, N-(2-morpholinethyl)-",1,-,-,-
"Acetanide, 2-(2-naphthyloxy)-",-,-,-,-
"Acetanide, N,N'-octamethylenebis[2,2-dichloro-",-,-,-,-
"Acetanide, N-(9-oxofluoren-2-yl)-",-,-,-,-
"Acetanide, N-phenethyl-",1,-,-,-
"Acetanide, 2-phenyl-",1,-,-,-
"Acetanide, N,N'-(p-phenylenedimethylene)bis[2,2-dichloro-N-ethyl-",-,-,-,-
"Acetanide, 2-phenyl-N-(Î±-phenylphenacyl)-",1,-,-,-
"Acetanide, 2-(piperonyloxy)-N,N'-dipropyl-",1,-,-,-
"Acetanide, N,N'-propylenebis-",1,-,-,-
"Acetanide, 2,2,2-trifluoro-N-(9-oxofluoren-2-yl)-",-,-,-,-
"Acetanilide, 2'-bromo-2-chloro-",1,-,-,-
"Acetanilide, N-butyl-2-chloro-",1,-,-,-
"Acetanilide, 2-chloro-N-ethyl-",1,-,-,-
"Acetanilide, 2-chloro-N-isopentyl-",1,-,-,-
"Acetanilide, 2-chloro-N-methyl-",1,-,-,-
"Acetanilide, 2-chloro-2'-nitro-",1,-,-,-
"Acetanilide, 2'-chloro-4'-nitro-",1,-,-,-
"Acetanilide, 2-chloro-N-pentyl-",1,-,-,-
"Acetanilide, 2,2-dichloro-",-,-,-,-
"Acetanilide, 2,2'-dichloro-",1,-,-,-
"Acetanilide, 2,3'-dichloro-",1,-,-,-
"Acetanilide, 2,4'-dichloro-",1,-,-,-
"Acetanilide, 3',4'-dichloro-",1,-,-,6
"Acetanilide, 2,2-dichloro-N-ethyl-",1,-,-,-
"Acetanilide, 2,2-dichloro-N-methyl-",1,-,-,-
"Acetanilide, 2,2-dichloro-4'-nitro-",-,-,-,-
"Acetanilide, 4'-(-N-rluoren-2-ylformimidoyl)-",-,-,-,-
"Acetanilide, 4'-[(hexahydro-lH-azepin-l-yl)sulfonyl]-",1,-,-,-
"Acetanilide, 4'-iodo-",-,-,-,-
