Chemical,Repellent_skin_YF,Repellent_cloth_YF,
"Duponol ""G"" (an alkyl sulfate)",N/A,N/A,
iso-Duryl vinyl ketone,N/A,1,
Drynone,1,N/A,
Elenol,2,N/A,
Emulgor A (condensed glycol ester of high-molecular-weight fatty acids),N/A,N/A,
Emulphor A6 (condensation pro-duct of an organic acid and ethylene oxide),N/A,N/A,
Emulphor AC oil soluble (poly-glycol ester),N/A,N/A,
Emulphor ELA (polyglycol ether ester),N/A,N/A,
Emulside 820 (cocoanut fatty acids of modified polyglycols),N/A,N/A,
Emulside 860 (Stearic acid esters of modified polyglycols),N/A,N/A,
Emulside 880 (Oleic acid esters of modified polyglycols),N/A,N/A,
Emulsifier L-32 (higher fatty acid esters of non-ionic type),1,N/A,
Emulsifier L-34-A (higher fatty acid esters of non-ionic type),1,N/A,
Emulsifier L-45 (higher fatty acid esters of non-ionic type),1,N/A,
Emulsol X-20 or Encol X-20 (mixture of sulfated fatty acid glycol esters),N/A,N/A,
"Enanthic acid, glycol monoester",2,4,
"Enanthic acid, 1,5-pentanediol diester",1,N/A,
"Enanthic acid,1,2-propanediol monoester",2,4,
"1,4-Endomethylene-5-cyclohexene-3-carboxylic acid, cyclohexyl ester",1,N/A,
"1,4-Endomethylene-5-cyclohexene-3-carboxylic acid, ethyl ester",1,N/A,
"1,4-Endomethylene-5-cyclohexene-3-carboxylic acid, furfuryl ester",3,N/A,
"1,4-Endomethylene-5-cyclohexene-3-carboxylic acid, methyl ester",1,N/A,
"1,4-Endomethylene-5-cyclohexene-3-carboxylic acid, phenethyl ester",2,2,
"1,4-Endomethylene-5-cyclohexene-3-carboxylic acid, propyl ester",1,N/A,
"2,5-Endomethylene-6-methylhexahydrobenzyl diethylene glycol monoether",4,4,
"2,5-Endomethylene-6-methylhexahydrobenzyl ethylene glycol monoether",N/A,4,
"2,5-Endomethylene,6-propyl, 1,2,5,6-tetrahydro-1-ethylbenzaldehyde",N/A,2,
"cis-3,6-Endomethylene-1,2,3,6-tetrahydrophthalic acid, di(2-ethylhexyl) ester",1,N/A,
"cis-3-6-Endomethylene-1,2,3,6-tetrahydrophthalic acid, di-n-hexyl ester",1,N/A,
Ephedrine,N/A,4,
Epibromohydrin,N/A,1,
Epichlorohydrin,N/A,1,
"Epoxymethylphenyl acrylic acid, ethyl ester",3,N/A,
"1,2-Epoxytetralin",N/A,3,
"3,4-Epoxy-2,2,4-trimethylpentanol-3 (Oxoctenol)",N/A,1,
"Erigenon affinis, ""Pertire del pais""",1,1,
"Erucic acid, ethyl ester",2,N/A,
"Erucic acid, methyl ester",N/A,1,
Erucyl alcohol,1,N/A,
Erythrosin,N/A,1,
"Ethoxalylacetic acid, ethyl ester",1,N/A,
"alpha-Ethoxyalylcaproic acid, ethyl ester",1,N/A,
"alpha-Ethoxyalkaline acid, ethyl ester",1,N/A,
2-Ethoxyalyl-1-phenylhydrazine,N/A,2,
"Ethoximinomalonic acid, diethyl ester",2,4,
p-Ethoxyacetophenone,4,N/A,
Ethoxy amylbenzene,N/A,1,
o-Ethoxybenzaldehyde,3,3,
p-Ethoxybenzaldehyde,2,4,
o-Ethoxybenzoic acid,1,N/A,
"o-Ethoxybenzoic acid, methyl ester",4,N/A,
4-Ethoxybenzophenone,N/A,1,
p-Ethoxybenzyl alcohol,4,2,
2-Ethoxybiphenyl,2,N/A,
4-Ethoxybiphenyl,N/A,1,
"p-Ethoxycinnamic acid, ethyl ester",N/A,3,
"beta-Ethoxycrotonic acid, ethyl ester",1,N/A,
4-Ethoxydiphenylmethane,1,N/A,
beta-(beta'-Ethoxyethoxy)-alpha-phenylethyl alcohol,3,N/A,
"beta-(beta-Ethoxyethoxy) propionic acid, beta-ethoxyethyl ester",2,4,
"beta-(Ethoxyethoxy)propionic acid, methyl ester",2,2,
"2-(2-Ethoxyethyl)hexahydro 1,3-benzodioxole",2,4,
"alpha-(beta-Ethoxyethylmaleyloxy)propionic acid, beta-ethoxy ethyl ester",N/A,1,
"beta-Ethoxyethylmalonic acid, diethyl ester",2,N/A,
"alpha-Ethoxyethyl-2-pentylmelonic acid, diethyl ester",3,N/A,
3-Ethoxy-4-hydroxybenzaldehyde,N/A,4,
1-Ethoxy-2-hydroxyladane,2,4,
"Ethoxymethylenemalonic acid, diethyl ester",2,4,
"Ethoxyorthoacetic acid, tri-ethyl ester",1,N/A,
o-Ethoxyphenethyl alcohol,1,N/A,
p-Ethoxyphenethyl alcohol,4,N/A,
beta-Ethoxyphenetole,1,N/A,
"2-(p-Ethoxyphenyl)-5-ethyl-6-n-propyl-1,3-dioxane",1,N/A,
3-Ethoxyphthalide,1,2,
3-Ethoxypropionaldehyde dibutyl acetal,1,N/A,
3-Ethoxypropionaldehyde diethyl acetal,1,N/A,
3-Ethoxypropionaldehyde diprogyl acetal,1,N/A,
"beta-Ethoxypropionic acid, ethyl ester",2,3,
p-Ethoxypropiophenone,1,N/A,
"gamma-Ethoxypropylmalonic acid, diethyl ester",1,N/A,
"Ethoxysuccinic acid, diethyl ester",1,N/A,
alpha-Ethoxy-alpha-tolute acid,1,N/A,
"alpha-Ethoxy-alpha-tolute acid, ethyl ester",1,N/A,
"2-Ethoxy-2'-(2,4,6-trichloro-phenoxy)diethyl ether",1,N/A,
N-Ethylacetamide,1,N/A,
"2-Ethylacetolacetic acid, ethyl ester",1,N/A,
p-Ethylacetophenone,1,N/A,
"2-Ethyl-3-acetoxybutyric acid, ethyl ester",1,N/A,
N-Ethyl-N-(2-acetoxyethyl) acetamide,2,1,
N-Ethylacet-o-toluidide,2,4,
N-Ethylacet-m-toluidide,2,4,
N-Ethylacet-p-toluidide,2,4,
"Ethylacetylmalonic acid, diethyl ester",1,N/A,
Ethyl alcohol,N/A,N/A,
Ethyl o-allyl-p-cresol ether,1,N/A,
2-(1-Ethylamyl)benzothiazole,1,N/A,
alpha-Ethylamyl 2-thienyl ketone,1,N/A,
Ethylated terphenyls (mixed),N/A,1,
N-Ethylbenzamide,N/A,N/A,
N-Ethylbenzanilide,1,1,
N-Ethylbenzene,N/A,1,
N-Ethylbenzenesulfonamide,N/A,N/A,
1-Ethyl-1-benzoylacetone,3,N/A,
Ethyl benzylaniline,1,N/A,
Ethyl bromide,N/A,N/A,
N-Ethyl p-bromobenzenesulfonamide,N/A,N/A,
"2-Ethyl-2-buten-1-yl-1,3-propanediol",2,4,
"beta-(2-Ethylbutoxy)propionic acid, 2-ethylbutyl ester",1,N/A,
2-Ethylbutyl glyceryl mono ether,4,N/A,
"(2-Ethylbutylidene)aceto-acetic acid, ethyl ester",N/A,N/A,
"(2-Ethylbutylidene)malonic acid, diethyl ester",2,3,
"2-Ethyl-2-butyl-1,3-propanediol",2,4,
4-(2'-Ethylbutyl)resorcinol,N/A,1,
2-Ethylbutyraldehyde diproplonate,1,N/A,
2-Ethylbutyraldehyde glyceryl acetal,4,4,
alpha-Ethylbutyraldehyde semicarbezone,N/A,N/A,
N-Ethyl-N-(2-butyroxy-ethyl) butyremide,4,4,
"2-Ethylbutyric acid, 1,4-butanediol diester",2,3,
"2-Ethylbutyric acid, glycol diester",1,N/A,
"2-Ethylbutyric acid, pentandiol-1,5 diester",1,N/A,
"2-Ethylbutyric acid, 1,2-propanediol diester",1,N/A,
"alpha-Ethylbutyric acid, 1,3-propanediol diester",1,N/A,
"2-Ethylbutyric acid, 1,2-propanediol monoester",2,N/A,
"2-Ethylbutyric acid, 1,2,3,4-tetrahydro-2-naphthyl ester",1,N/A,
"2-Ethylbutyric acid, triethylene glycol diester",2,N/A,
N-Ethyl-N-n-butynylaniline,2,4,
2-Ethyl-n-caproic acid,4,4,
2-Ethyl-2-carbethoxycyclopentanone,3,N/A,
"9-Ethyl-9-carbonethoxy-9,10-dihydroanthracene",1,N/A,
Ethyl carbonate of butyl ethylene glycol ether lactate,1,N/A,
Ethyl carbonate of beta-chloro-ethyl ethylene glycol ether lactate,1,N/A,
Ethyl carbonate of cyclohexyl lactate,N/A,1,
Ethyl carbonate of methylcyclohexyl lactate,1,N/A,
Ethyl carbonate of tetrahydro-furfuryl lactate,2,4,
Ethyl cellulose,N/A,N/A,
N-Ethyl-alpha-chloro-cyclo-hexanecarboxamide,N/A,N/A,
2-Ethylchromanone,1,N/A,
2-Ethylchromone,3,N/A,
6-Ethylcoumarin,2,N/A,
N-Ethylcrotonanilide,N/A,4,
"Ethylcrotylmalonic acid, diethyl ester",1,N/A,
"5-Ethyl-4,6-decanediol",2,4,
Ethyl diethylene glycol mono-ether,N/A,N/A,
"Ethyl dihydroxy propyl aniline (probably 3-Ethylphenyl-aminopropanediol-1,2)",N/A,1,
"N-Ethyl-2,4-dinitro aniline",N/A,N/A,
x-Ethyldiphenyl ether,1,N/A,
Ethylene cyanohydrin,N/A,1,
"N,N'-Ethylene di(beta-amino-crotonic acid, diethyl ester)",N/A,1,
Ethylene dichloride,4,N/A,
"Ethylenedioxyacetic acid, dibutyl ester",1,N/A,
Ethylene glycol,N/A,N/A,
Ethylene glycol bis-(beta-cyanoethyl) ether,1,N/A,
"Ethylenetetracarboxylic acid, tetraethyl ester",N/A,1,
Ethyl ethylene glycol mono-ether,N/A,N/A,
N-Ethylformanilide,4,4,
"5-Ethyl-2,4-heptanediol",4,4,
5-Ethylheptan-4-ol-2-one,2,4,
2-Ethylhexaldehyde glyceryl acetal,4,4,
"2-Ethylhexanal 2-nitro-2-ethyl-1,3-propanediol acetal",1,N/A,
"2-Ethylhexanal 2-nitro-2-methyl-1,3-propanediol acetal",2,1,
"2-Ethyl-1,2-hexanediol",3,N/A,
"2-Ethyl-1,3-hexanediol (Rutgers 612)",4,4,
"3-Ethylhexanediol-2,4",4,3,
2-Ethylhexanol,1,N/A,
2-Ethyl-2-hexenal,2,N/A,
2-Ethyl-2-hexenal oxime,N/A,3,
"2-Ethylhexanoic acid, butyl ester",1,N/A,
"2-Ethylhexoic acid, cyclo-hexyl ester",N/A,1,
"2-Ethylhexoic acid, dimethyl ethynyl carbinyl ester",1,N/A,
"2-Ethylhexoic acid, ethylene-glycol diester",1,N/A,
"2-Ethylhexoic acid, 1-ethylnyl-cyclohexyl ester",1,N/A,
"2-Ethylhexoic acid, 1,2-indan-diol diester",1,N/A,
"2-Ethylhexoic acid, 2-mitro-2-ethyl-1,3-propanediol diester",1,N/A,
"2-Ethylhexoic acid, tri-ethylene glycol diester",1,N/A,
2-(2'-Ethylhexoxy)cyclohexanol,2,4,
3(2(2-Ethylhexoxy)-2(1 or 2) methylethoxy)-1(1 or 2)pro-panol,1,N/A,
1-(2-Ethylhexoxy)-2-propanol,1,N/A,
4-(2'-Ethylhexoyl)resorcinol,N/A,1,
"2-Ethylhexylcyanoacetic acid, methyl ester",2,4,
2-Ethylhexyl diethylene glycol monoether,4,4,
2-Ethylhexyl dipropylene glycol monoether,4,4,
2-Ethylhexyl ethylene glycol monoether,N/A,2,
N-(2-Ethylhexyl)-N-furfuryl-idene-amine,N/A,2,
2-Ethylhexyl glyceryl ether,4,4,
"(2-Ethylhexylidene)aceto-acetic acid, ethyl ester",1,N/A,
"N-2-Ethylhexyl imide of bicy-clo-(2,2,1)-heptene-2,3-di-carboxylic acid",1,N/A,
N-2-Ethylhexylmaleimide,2,N/A,
h(2-Ethylhexyl)morpholine,2,1,
N-(2-Ethylhexyl)phthalimide,N/A,1,
h-(2'-Ethylhexyl-6-chloro) resorcinol,N/A,1,
N-2-Ethylhexylsuccinimide,2,N/A,
"2-Ethylhexyl succinyl glycolic acid, butyl ester",1,N/A,
"2-Ethylhexyl succinyl glycolic acid,2-ethylhexyl ester",1,N/A,
2-Ethyl-3-hydroxyhexanal,1,N/A,
"alpha-Ethyl-beta-hydroxy-beta-tetrahydrofurylpropionic acid, ethyl ester",2,4,
"Ethylidene bis-acetoacetic acid, diethyl ester",N/A,1,
Ethylidene bisbenzamide,N/A,N/A,
"2,2'-Ethylidene bis(4-chloro-phenol)",N/A,1,
"Ethylidenedinalonic acid, tetraethyl ester",1,N/A,
"Ethylidenedionic acid, di- ethyl ester",N/A,N/A,
Ethylidene urea,N/A,N/A,
"N-Ethyl imide of 3,6-endo-methylene-l-cyclohexene-1, 2-dicarboxylic acid",N/A,3,
"2-Ethyl-2-methyl-1,3-dioxo-lane-l-,5-dicarboxylic acid, dimethyl ester",2,4,
2-Ethyl-5-methylhexanol-1,1,N/A,
2-Ethyl-3-methyl-2-hexenemitrile,2,4,
"6-Ethyl-2-methyl-l-oxo-2-cyclohexene-l-carboxylic acid, ethyl ester",4,4,
"2-Ethyl-2-methyl-5-phenyl-1,3-dioxolane-l-one",2,4,
"alpha-Ethyl-beta-methyl-beta-phenyl-glycidic acid, ethyl ester",1,N/A,
"alpha-Ethyl-beta-methyl-beta-phenyl-glycidic acid, methyl ester",1,N/A,
"2-Ethyl-3-methyl-2,3,4-tri-carbethoxycyclo-butanone",2,N/A,
N-Ethyl-2-naphthalenesulfonamide,N/A,N/A,
N-Ethyl-p-nitrobenzamide,N/A,1,
"5-Ethylnonanediol-2,4",2,4,
5-Ethylnonanol-l-one-2,2,4,
"3-Ethyloctanediol-2,4",4,4,
"4-Ethyl-3,5-octanediol",4,4,
"6-Ethyl-3,5-octanediol",N/A,N/A,
6-Ethyloctan-5-ol-3-one,2,4,
"Ethyl-sec-octylmalonic acid, ethyl ester (d-form)",2,N/A,
"Ethyl-sec-octylmalonic acid, diethyl ester (l-form)",1,N/A,
"Ethyl-sec-octylmalonic acid, diethyl ester (racemic form)",1,N/A,
"alpha-Ethylpelargonic acid, iso-amyl ester",1,N/A,
2(l-Ethylpentyl)indazole,N/A,1,
2-(l-Ethylphenoxy)ethanol,2,4,
N-Ethyl-N-phenylacetamide,N/A,4,
N-Ethyl-N-phenyl-iso-butyramide,4,4,
N-Ethyl-N-phenyl ceprylamide,1,N/A,
"N-Ethyl-N-phenyl carbamic acid, butyl ester",1,N/A,
N-Ethyl-N-phenyl-n-decanamide,1,N/A,
2-(x-Ethylphenyl)ethenol,4,3,
N-Ethyl-N-phenyl ethanolamine,4,N/A,
Ethyl-beta-phenylethylamine,N/A,1,
"alpha-Ethyl-beta-phenylely-cidic acid, allyl ester",2,N/A,
"alpha-Ethyl-beta-phenylely-cidic acid, ethyl ester",2,4,
"alpha-Ethyl-beta-phenylely-cidic acid, methyl ester",1,N/A,
"beta-Ethyl-beta-phenylely-cidic acid, methyl ester",4,4,
"alpha-Ethyl-beta-phenylely-cidic acid, propyl ester",1,N/A,
"beta-Ethyl-beta-phenylely-cidic acid, propyl ester",2,2,
"beta-Ethyl-beta-phenylely-cidic acid, iso-propyl ester",1,N/A,
"N-Ethyl-N-phenylglycine, ethyl ester",3,N/A,
5-Ethyl-1-phenylsemioxamazide,N/A,N/A,
N-Ethyl-N-phenyluretane,2,2,
N-Ethylphthalimide,N/A,N/A,
"Ethyl phthalyl glycolic acid, methyl ester",1,N/A,
"(1-Ethyl-l-propenyl)ethyl-cyanoacetic acid, ethyl ester",2,N/A,
"(1-Ethyl-l-propenyl)methyl-cyanoacetic acid, ethyl ester",1,N/A,
5-Ethyl-l-(2-propenyl)nonen-1-ol-4,2,4,
"(1-Ethyl-l-propenyl)-propyl-cyanoacetic acid, ethyl ester",2,N/A,
N-Ethylpropion-o-toluidide,2,4,
N-Ethylpropion-m-toluidide,2,4,
N-Ethylpropion-p-toluidide,2,4,
N-Ethyl-N-proponylaniline,2,2,
N-Ethyl-N-(2-propoxy-ethyl)propiomamide,3,N/A,
2-Ethyl-3-propylacrolein glycerol,3,N/A,
"2-Ethyl-3-propylacrolein 2-nitro-2-ethyl-1,3-propene-diol acetal",1,N/A,
5-(1-Ethylpropyl)-m-cresol,N/A,1,
Ethyl o-propyl-p-cresol ether,1,1,
"5-Ethyl-6-m-propyldioxane-1,3",1,N/A,
5-Ethyl-l-propyl-2-m-dioxanyl methyl ketone,1,N/A,
"(1-Ethylpropylidene) cyano-acetic acid, ethyl ester",2,N/A,
5-Ethyl-l-propylnonanol,1,N/A,
2-(alpha-Ethyl-beta-propyl-vinyl)-m-dioxane,1,N/A,
x-Ethyl-x-tetrachlorobenzene,2,4,
"l-Ethyl-1,2,3,4-tetrahydro-2-naphthol",4,4,
"Ethyl 1,2,3,4-tetrahydro-2-naphthol ether",2,1,
"2-Ethyl-2,4,4,6-tetramethyl-m-dioxane",1,N/A,
alpha-Ethyl-alpha-toluamide,N/A,N/A,
N-Ethyltoluenesulfonamide,1,N/A,
"Ethyl 2,4,6-trimethylbenzyl ether",2,2,
Ethyl underyl ketone,1,N/A,
"alpha-Ethylvaleric acid, allyl ester",1,N/A,
"Ethylxanthic acid, ethyl ester",N/A,4,
"Ethylxanthic acid, potassium salt",N/A,1,
"Ethylxanthoacetic acid, iso-bornyl ester",N/A,N/A,
"Ethylxanthogenoacetic acid, ethyl ester",1,N/A,
Ethyl 3-xenyl ether,1,N/A,
l-Ethymyldyclohexanol,1,1,
2-Ethymyl-cis-2-decalol,4,N/A,
Eucalyptol,1,2,
Eugenol,N/A,1,
alpha-Eugenoxyacetophenone,N/A,1,
Eulan CN,N/A,1,
Extractol (oil extract of phosphatide concentrate),N/A,N/A,
Fenchone,1,N/A,
Fenchyl alcohol,1,N/A,
"Ferrocyanic acid, ozonium salt of cineole",N/A,1,
Fluorene,N/A,1,
Fluorenone,N/A,1,
"Fluoroacetic acid, sodium salt",N/A,1,
"o-Fluorobenzoic acid, ethyl ester",1,N/A,
Foremul L-32 (higher fatty acid esters of the non-ionic type),N/A,N/A,
Foremul L-34-A (higher fatty acid esters of the non-ionic type),N/A,N/A,
Foremul L-45 (higher fatty acid esters of the non-ionic type),N/A,N/A,
Formal di-2-chlorethyl acetal,1,N/A,
Formanilide,2,4,
"Formic acid, antsyl ester",2,4,
"Formic acid, benzyl ester",1,N/A,
"Formic acid, cinnamyl ester",3,4,
"Formic acid, p.p'-dichlorobenz-hydroyl ester",1,N/A,
"Formic acid, ethyl ester",N/A,N/A,
"Formic acid, geranyl ester",1,N/A,
Formic acid green,N/A,N/A,
"Formic acid, 1,6-hexanediol diester",2,4,
"Formic acid, iso-bornyl ester",1,N/A,
"Formic acid, lauryl ester",1,N/A,
"Formic acid, methyl ester",N/A,N/A,
"Formic acid, 1,9-nonanediol diester",1,N/A,
"Formic acid, oleyl ester",1,N/A,
"Formic acid, 1,5-pentanediol diester",2,3,
o-Formotolulde,N/A,N/A,
p-Formotolulde,N/A,N/A,
N-(2-Formoxyethyl)formamide,1,N/A,
alpha-Formoxypropionic acid,2,N/A,
Formyl diphenylamine,N/A,4,
H-Formylmorpholine,1,N/A,
Fuel oil No. 1,N/A,N/A,
Fuel oil No. 2,N/A,N/A,
Fumaramide,N/A,1,
"Fumaric acid, diallyl ester",N/A,1,
"Fumaric acid, di-(allyl lactate) ester",N/A,N/A,
"Fumaric acid, dibutoxyethyl ester",1,N/A,
"Fumaric acid, dibutyl ester",1,N/A,
"Fumaric acid, dicyclohexyl ester",N/A,1,
"Fumaric acid, dichoxyethyl ester",1,N/A,
"Fumaric acid, diethyl ester",1,N/A,
"Fumaric acid, dimethoxyethyl ester",2,4,
"Fumaric acid, dimethyl ester",N/A,1,
"Fumaric acid, diphenoxyethyl ester",N/A,1,
2-Furaldehyde-4-phenyl-3-thio-semicarbazone,N/A,N/A,
2-Furaldehyde semicarbazone,N/A,N/A,
2-Furenacrolein,N/A,N/A,
2-Furanacrolein-4 phenyl-3-thiosemicarbazone,N/A,N/A,
2-Furanacrylamide,N/A,N/A,
2-Furanacrylic acid,N/A,N/A,
Furfural,N/A,1,
Furfural acetophenone,N/A,2,
beta-Furfuraldioxine,N/A,N/A,
Furfural alpha-picoline,N/A,N/A,
Furfural pinecolone,2,4,
Furfural quinaldine,N/A,1,
Furfuryl alcohol,1,N/A,
"Furfuryldenecetic acid, allyl ester",3,4,
"Furfuryldenecetic acid, n-amyl ester",3,4,
"Furfuryldenecetic acid, sec-butyl ester",4,3,
"Furfuryldenecetic acid, ethyleneglycolmethyl ether ester",4,4,
"Furfuryldenecetic acid, n-propyl ester",3,N/A,
Furfuryldene acetone,N/A,4,
Furfuryldene cyclohexanone,N/A,2,
"4,4' -Furfurylidenedimorpholine",N/A,1,
"Furfuryldenemalonic acid, diethyl ester",1,N/A,
"Furfuryldenemalonic acid, dimethyl ester",1,N/A,
Furfuryldene pinacolone,3,N/A,
N-(2-Furfuryldene)-o-toluidine,N/A,1,
2-(2-Furfuryl)-2-indazolinel-ethanol,1,1,
Furfurylmethyl n-amyl ketone,N/A,1,
"beta-Furfuryloxypropionic acid, methyl ester",2,4,
beta-Furfuryloxypropionitrile,1,N/A,
Furil,N/A,1,
"Furoic acid, n-butyl ester",N/A,2,
"Furoic acid, beta-chloroethyl ester",3,2,
"Furoic acid, cyclohexyl ester",2,4,
"Furoic acid, furfuryl ester",3,N/A,
"Furoic acid, phenyl ester",N/A,3,
"Furoic acid, tetrahydrofur-furyl ester",2,4,
"Furoic acid, 1,2,3,4-tetrahydro-2-naphthyl ester",N/A,2,
Furoin,N/A,1,
"Furoylectic acid, ethyl ester",2,4,
Furoylectone,2,N/A,
"Furyacrylic acid, iso-amyl ester",2,4,
"Furyacrylic acid, bonzyl ester",N/A,1,
"Furyacrylic acid, butyl ester",2,4,
"Furylacrylic acid, cyclohexyl ester",N/A,1,
"Furylacrylic acid, ethyl ester",2,2,
"Furylacrylic acid, 2-ethyl-butyl ester",2,N/A,
"Furylacrylic acid, ethylene glycol ethyl ether ester",4,4,
"Furylacrylic acid, methallyl ester",4,4,
"beta-(alpha-Furyl)acrylic acid, methyl ester",2,4,
"Furylacrylic acid, phenethyl ester",1,N/A,
Furylacryloylmorpholine,N/A,1,
Furylacryloylpipersidine,N/A,1,
1-(2-Furyl)butanol-3,2,N/A,
"1-Furyl-2,2-diethylpropylene glycol-1,3",1,N/A,
"1-Furyl-2,2-dimethyl propylene glycol-1,3",N/A,1,
3-Furyl-m-dioxane,2,4,
"1-Furyl-2-ethyl-2-n-butyl-propanediol-1,3",1,N/A,
2-Furyl-5-ethyl-5-nitro-m-dioxane,N/A,1,
"2-(2-Furyl)-5-ethyl-6-n-propyl-dioxane-1,3",1,N/A,
1-Furylhexene-1-one-3,N/A,1,
5-(2-Furylidene)-2-thio-4-thiazolidone,N/A,N/A,
"2-(2-Furyl)-4-methoxymethyl-1,3-dioxolane",2,3,
2-Furyl-5-methyl-5-nitro-m-dioxane,N/A,3,
1-Furylocene-l-one-3,N/A,1,
1-Furylpentene-l-one-3,N/A,2,
"2-Furyl-4,4,6-trimethyl-m-dioxane",1,N/A,
"2-(2-Furylythyl)-2-methyl-1,3-dioxolane",N/A,3,
"G-406 (a modified fatty acid ester, ricinoleate type)",1,N/A,
"G-650 (Sorbitol ricinoleate, technical)",1,N/A,
Galactose,N/A,1,
"Gallic acid, methyl ester",N/A,1,
Geraniol,2,N/A,
"Geraniol, crude",2,3,
"Geraniol (1st fraction, Java citronella oil)",1,N/A,
"Geraniol (2nd fraction, Java citronella oil)",2,4,
"Geraniol (last fraction, Java citronella oil)",1,4,
"Geraniol (last fraction, high boiling), Java citronella oil",1,N/A,
"Geraniol (""Pots"" fraction)",2,4,
"Geraniol (special ""Pots"" fraction), Java citronella oil",1,N/A,
Geranic acid,4,4,
Geranylacetone,2,4,
c(D-Gluco-D-glucoheptohexa-hydroxyhexyl)benzamide,N/A,N/A,
d-Glutamic acid,N/A,N/A,
"Glutaric acid, di-n-butyl ester",3,N/A,
"Glutaric acid, di-iso-butyl ester",2,4,
"Glutaric acid, diethyl ester",2,N/A,
"Glutaric acid, dimethyl ester",2,3,
"Glutaric acid, di-2-methyl-1-butyl ester",2,2,
"Glutaric acid, di-n-propyl ester",1,N/A,
"Glutaric acid, di-iso-propyl ester",3,N/A,
"Glutaric acid,monoethyl ester",2,2,
"Glutaric acid, monopropyl ester",2,4,
Glutaric anhydride,N/A,1,
Glutaronitrile,1,N/A,
"d1-Glyceric acid, ethyl ester",1,N/A,
"d1-Glyceric acid, n-propyl ester",3,N/A,
Glycerine,1,N/A,
Glycerol acetone,1,N/A,
Glycerol n-butyl ether,2,4,
"Glycerol-alpha,gamma-di-iso-amyl ether",4,4,
Glycerol dibromohydrin,N/A,2,
"Glycerol-alpha,alpha-dimethyl ether",1,N/A,
Glycerol formal,1,N/A,
Glycerol furfural,4,N/A,
Glycerol mono-iso-amyl ether,4,N/A,
Glycerol monochlorohydrin,2,1,
Glycerol monochlorohydrin monoethyl ether,2,3,
Glycerol monomethyl ether,1,N/A,
Glycerol monophenyl ether,N/A,1,
alpha-Glyceryl xylemyl ether,2,4,
"Glycolic acid, allyl ester",N/A,1,
"Glycolic acid, butyl ester",1,N/A,
"Glycolic acid, iso-butyl ester",1,N/A,
"Glycolic acid, sec-butyl ester",1,N/A,
"Glycolic acid, castor oil ester",1,N/A,
"Glycolic acid, cyclohexyl ester",2,3,
"Glycolic acid, beta-ethoxyethyl ester",1,N/A,
"Glycolic acid, ethyl ester",2,4,
"Glycolic acid, 2-ethylhexyl ester",2,4,
"Glycolic acid, glycerol triester",1,N/A,
"Glycolic acid, lauryl ester",N/A,1,
"Glycolic acid, beta-methoxy-ethyl ester",1,N/A,
"Glycolic acid, octyl ester",2,N/A,
Glycol polyformal,1,N/A,
Guaiacol,N/A,2,
Guaiacol-ethylene oxide reaction product,1,N/A,
Guanidineinitro-o-cresylate,N/A,N/A,
Guayule resin,N/A,1,
Gum Arabic,N/A,N/A,
Gum benzoin,N/A,1,
Gum camphor,N/A,N/A,
"Haplophyton, crude alkaloid",N/A,1,
HB-40 (hydrogenated terphenyls),2,2,
Heavy solvent,N/A,N/A,
"Helenium nexicanum, ground flower heads",N/A,N/A,
Hendecanal,2,4,
"10-Hendecenoic acid, n-butyl ester",1,N/A,
"10-Hendecenoic acid, n-propyl ester",1,N/A,
"1,1,1,2,3,3,3-Heptachloro-2-fluoropropane",N/A,N/A,
asym.-Haptachloropropane,N/A,1,
Heptadecanol,1,N/A,
n-Heptaldehyde,1,N/A,
Heptaldehyde dibutyl acetal,N/A,N/A,
"Heptaldehyde 2-ethylhexene-diol-1,3 acetal",N/A,1,
Heptaldehyde glyceryl butoxy acetal,3,N/A,
Heptaldehyde propylene glycol acetal,N/A,N/A,
"Heptaldehyde 1,3-trimethylene glycol acetal",N/A,N/A,
Heptamethylene bromide,1,1,
Heptamethyleneglycol,1,N/A,
"1,2-Heptanediol",3,N/A,
"2,4-Heptanediol",N/A,N/A,
Heptanol-2,1,N/A,
"(1-Hoptenyl)ethylmalonic acid, diethyl ester",N/A,N/A,
"beta-(3-Hepten-3-yl)glycidic acid, allyl ester",1,N/A,
"beta-(3-Hepten-3-yl)glycidic acid, methyl ester",2,4,
"beta-(3-Hepten-3-yl)glycidic acid, iso-propyl ester",2,N/A,
"(1-Heptenyl)methylmalonic acid, diethyl ester",N/A,N/A,
"Heptenylsuccinic acid,dimethyl ester",1,N/A,
Heptenyl succinic anhydride,3,N/A,
"n-Heptotic acid, 2-n-amyl-3-hydroxynonyl ester",1,N/A,
N-Heptylacetamide,N/A,1,
4-Heptylcatechol,N/A,1,
4-Heptyl-6-chlororesorcinol,N/A,1,
"n-Heptylcyanoacetic acid, ethyl ester",1,N/A,
2-(3-Heptyl)-m-dioxane,1,N/A,
n-Heptylic acid,3,3,
"Heptylic acid, heptyl ester",1,N/A,
"Heptylic acid, 1,5-pentanediol monoester",4,2,
n-Heptylic anhydride,3,N/A,
"n-Heptylidenemalonic acid, diethyl ester",N/A,N/A,
"N-Heptyl imide of 3,6-endomethylene-4-cyclohexene-1, 2-dicarboxylic acid",1,N/A,
"n-Heptylmalonic acid, diethyl ester",2,N/A,
2-n-Heptylnonanol-1,2,1,
N-n-Heptyl phthalimide,1,N/A,
